No,Destination Name,City/Regency,Province,Cultural Type,Latitude,Longitude,Opening Hours,Closing Hours,Est. Visit Duration (minutes)
1,Maimun Palace,Medan,North Sumatra,Warisan Kerajaan & Kolonial,3.5753,98.6839,8:00,17:00,45
2,Muaro Jambi Temple Complex,Muaro Jambi,Jambi,Situs Sejarah & Arkeologi,-14.840,103.6170,8:00,17:00,90
3,Rumah Gadang Village,Tanah Datar,West Sumatra,Desa Adat & Kehidupan Tradisional,-1.4814,101.0600,8:00,17:00,60
4,Weh Island Cultural Village,Sabang,Aceh,Desa Adat & Kehidupan Tradisional,5.8897,95.3214,8:00,17:00,120
5,Balige Traditional Market,Toba,North Sumatra,"Seni, Kerajinan & Pasar",2.3360,99.0790,7:00,17:00,60
6,Borobudur Temple,Magelang,Central Java,Situs Sejarah & Arkeologi,-7.6079,110.2038,6:00,17:00,90
7,Prambanan Temple,Sleman,DI Yogyakarta,Situs Sejarah & Arkeologi,-7.7522,110.4917,6:00,17:00,90
8,Keraton Yogyakarta,Yogyakarta,DI Yogyakarta,Warisan Kerajaan & Kolonial,-7.8056,110.3647,8:30,14:00,60
9,Trusmi Batik Village,Cirebon,West Java,"Seni, Kerajinan & Pasar",-6.7333,108.5667,8:00,17:00,60
10,Naga Traditional Village,Tasikmalaya,West Java,Desa Adat & Kehidupan Tradisional,-7.3510,108.9560,8:00,17:00,60
11,Banjar Traditional Village,South Kalimantan,South Kalimantan,Desa Adat & Kehidupan Tradisional,-3.3167,114.5900,8:00,17:00,60
12,Dayak Longhouse,Kapuas Hulu,West Kalimantan,Desa Adat & Kehidupan Tradisional,-0.8333,112.9333,8:00,17:00,90
13,Tanjung Puting Cultural Area,Kotawaringin Barat,Central Kalimantan,Desa Adat & Kehidupan Tradisional,-2.7333,111.6333,8:00,17:00,180
14,Balanga Museum,Palangka Raya,Central Kalimantan,Museum & Monumen,-2.2100,113.9200,8:00,16:00,60
15,Sintang Cultural Center,Sintang,West Kalimantan,Festival & Taman Budaya,-0.6670,111.5000,8:00,17:00,60
16,Tana Toraja,Tana Toraja,South Sulawesi,Desa Adat & Kehidupan Tradisional,-3.0000,120.0000,8:00,17:00,180
17,Fort Rotterdam,Makassar,South Sulawesi,Warisan Kerajaan & Kolonial,-5.1331,119.4064,8:00,17:00,60
18,Wakatobi Cultural Village,Wakatobi,Southeast Sulawesi,Desa Adat & Kehidupan Tradisional,-5.3167,123.5833,8:00,17:00,120
19,Gorontalo Traditional House,Gorontalo,Gorontalo,Desa Adat & Kehidupan Tradisional,5.333,123.0667,8:00,17:00,60
