"Page","Section","Section Description"
"Beranda","Navbar",""
"","Seksi Header Hero","Gambar Candi Borobudur dengan tagline ""Temukan Keindahan Budaya Indonesia di Ujung Jari Kamu"" dan tombol utama ""Mulai Jelajahi"""
"","Seksi Daftar Fitur","Highlight fitur: AI Trip Assistant, Database Budaya Indonesia, dan Peta Interaktif"
"","Seksi Galeri","Galeri foto budaya Indonesia yang menarik dan representatif"
"","Seksi CTA","Bagian akhir untuk mendorong pengguna menjelajahi destinasi dengan tombol ajakan bertindak"
"","Footer",""
"Jelajahi","Navbar",""
"","Seksi Header","Search bar di atas untuk memudahkan pengguna mencari destinasi budaya"
"","Seksi Fitur","Filter dropdown: Provinsi, Jenis Budaya, Rentang Harga untuk menyaring destinasi sesuai preferensi pengguna"
"","Seksi Galeri","Grid destinasi yang menampilkan gambar, nama, rating, dan harga tiket untuk setiap destinasi"
"","Seksi Garis Waktu","Pagination di bagian bawah untuk navigasi halaman destinasi"
"","Footer",""
"Detail Destinasi","Navbar",""
"","Seksi Header Produk E-commerce","Gambar besar destinasi dengan nama destinasi, rating, harga tiket, dan jam operasional"
"","Seksi Badan Dokumentasi","Deskripsi lengkap destinasi dan sejarah singkat"
"","Seksi Galeri","Galeri foto destinasi untuk menampilkan keindahan dan keunikan tempat tersebut"
"","Seksi Cara Kerja","Peta lokasi dengan integrasi OpenStreetMap style"
"","Seksi CTA","Tombol ""Rencanakan Perjalanan"" untuk mendorong pengguna memulai perencanaan kunjungan"
"","Footer",""
"AI Trip Assistant","Navbar",""
"","Seksi Header Hero","Interface chatbot dengan tampilan modern dan tagline ""Rencanakan Perjalanan Budaya Kamu dengan Mudah"""
"","Seksi Formulir Aplikasi","Formulir input preferensi pengguna seperti provinsi, budget, dan durasi perjalanan"
"","Seksi Fitur","Penjelasan singkat tentang cara kerja AI Trip Assistant dan manfaatnya"
"","Seksi Daftar Fitur","Daftar fitur AI Trip Assistant: Rekomendasi destinasi, Itinerary otomatis, Estimasi biaya, dan waktu perjalanan"
"","Seksi CTA","Tombol untuk memulai perencanaan perjalanan dengan AI Trip Assistant"
"","Footer",""
"Peta","Navbar",""
"","Seksi Header Hero","Peta interaktif dengan marker destinasi dan navigasi yang intuitif, dengan tombol ""Telusuri Peta"""
"","Seksi Daftar Fitur","Sidebar berisi daftar tempat dan rute perjalanan, dengan opsi filter dan pencarian"
"","Seksi Cara Kerja","Instruksi singkat tentang cara menggunakan peta interaktif dan fitur-fitur yang tersedia"
"","Footer",""
"Profil Pengguna","Navbar",""
"","Seksi Header","Header dengan judul ""Profil Pengguna"" dan subjudul ""Kelola informasi dan itinerary Anda"""
"","Seksi Tim","Data pengguna termasuk foto profil, nama, dan email"
"","Seksi Daftar Portofolio","Daftar itinerary tersimpan dengan opsi untuk melihat detail atau mengedit"
"","Seksi CTA","Tombol ""Edit Profil"" dan ""Logout"" di bagian bawah halaman"
"","Footer",""
